Claim Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault,Vechile_registration_present,Incident_details_present,Injury_details_present,TP_type_insd_pass_back,TP_type_insd_pass_front,TP_type_driver,TP_type_pass_back,TP_type_pass_front,TP_type_bike,TP_type_cyclist,TP_type_pass_multi,TP_type_pedestrian,TP_type_other,TP_type_nk,TP_injury_whiplash,TP_injury_traumatic,TP_injury_fatality,TP_injury_unclear,TP_injury_nk,TP_region_eastang,TP_region_eastmid,TP_region_london,TP_region_north,TP_region_northw,TP_region_outerldn,TP_region_scotland,TP_region_southe,TP_region_southw,TP_region_wales,TP_region_westmid,TP_region_yorkshire,Incurred,Capped Incurred
1331,2007-08-22,Other,LD003,Head on collision,1,202,Home Address,WET,Y,16,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5202,5202
1332,2007-08-22,Other,LD003,Head on collision,0,199,Minor Road,NORMAL,N,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2951,2951
1333,2007-08-22,TP,LD003,Head on collision,118,326,Minor Road,N/A,n/k,18,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1334,2007-08-22,Other,LD003,Head on collision,1,303,Minor Road,NORMAL,Y,15,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1335,2007-08-24,CNF,LD003,Head on collision,3,4,Main Road,NORMAL,Y,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5582,5582
1336,2007-08-26,PH,LD003,Head on collision,3,11,Minor Road,NORMAL,Y,16,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,2007-08-27,Other,LD003,Head on collision,11,292,Car Park,NORMAL,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1369,1369
1338,2007-08-27,PH,LD003,Head on collision,0,33,Minor Road,NORMAL,N,11,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1339,2007-08-27,Other,LD003,Head on collision,1,87,Main Road,NORMAL,N,9,Other,n/k,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1999,1999
1340,2007-08-27,Other,LD003,Head on collision,3,199,Minor Road,N/K,n/k,0,Other,n/k,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,485625,50000
1341,2007-08-28,PH,LD003,Head on collision,0,218,Minor Road,NORMAL,Y,5,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,422,422
1342,2007-08-29,CNF,LD003,Head on collision,1,287,Main Road,NORMAL,N,16,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1343,2007-09-02,Other,LD003,Head on collision,1,342,Minor Road,WET,N,14,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29345,29345
1344,2007-09-02,TP,LD003,Head on collision,211,4,n/k,N/K,n/k,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1126,1126
1345,2007-09-03,PH,LD003,Head on collision,0,54,Minor Road,NORMAL,N,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,7437,7437
1346,2007-09-03,PH,LD003,Head on collision,1,164,Minor Road,NORMAL,N,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4709,4709
1347,2007-09-04,Other,LD003,Head on collision,0,318,Minor Road,NORMAL,N,13,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,831,831
1348,2007-09-06,PH,LD003,Head on collision,1,235,Main Road,NORMAL,N,18,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,142,142
1349,2007-09-08,PH,LD003,Head on collision,0,297,Home Address,NORMAL,Y,11,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2890,2890
1350,2007-09-08,TP,LD003,Head on collision,83,361,Not Applicable,N/K,n/k,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351,2007-09-09,Other,LD003,Head on collision,1,360,Minor Road,NORMAL,Y,18,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,669,669
1352,2007-09-10,PH,LD003,Head on collision,0,187,Minor Road,NORMAL,N,7,Other,n/k,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,17496,17496
1353,2007-09-11,PH,LD003,Head on collision,0,188,Main Road,NORMAL,N,17,Other,n/k,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,19161,19161
1354,2007-09-11,Other,LD003,Head on collision,0,347,Minor Road,NORMAL,Y,13,Other,n/k,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8573,8573
1355,2007-09-12,Other,LD003,Head on collision,2,27,Minor Road,N/K,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6003,6003
1356,2007-09-12,PH,LD003,Head on collision,0,118,Main Road,NORMAL,N,7,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,7813,7813
1357,2007-09-12,Other,LD003,Head on collision,2,253,Car Park,NORMAL,Y,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4313,4313
1358,2007-09-14,Other,LD003,Head on collision,10,361,Main Road,N/K,N,15,Other,n/k,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,629140,50000
1359,2007-09-14,Other,LD003,Head on collision,17,345,Minor Road,NORMAL,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1204,1204
1360,2007-09-14,CNF,LD003,Head on collision,5,106,Main Road,WET,Y,15,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-786,-786
1361,2007-09-15,Other,LD003,Head on collision,2,304,Main Road,NORMAL,N,15,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25797,25797
1362,2007-09-15,PH,LD003,Head on collision,2,226,Minor Road,NORMAL,N,18,Other,n/k,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1108,1108
1363,2007-09-15,Other,LD003,Head on collision,2,123,Minor Road,NORMAL,Y,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1364,2007-09-16,PH,LD003,Head on collision,1,276,Main Road,NORMAL,N,8,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,2007-09-17,PH,LD003,Head on collision,0,166,Minor Road,WET,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1463,1463
1366,2007-09-17,NamedDriver,LD003,Head on collision,4,75,Main Road,N/K,N,0,Other,n/k,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25287,25287
1367,2007-09-17,PH,LD003,Head on collision,28,40,Other,NORMAL,Y,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,24
1368,2007-09-17,NamedDriver,LD003,Head on collision,0,293,Minor Road,WET,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1220,1220
1369,2007-09-18,TP,LD003,Head on collision,0,145,Main Road,NORMAL,n/k,8,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,894,894
1370,2007-09-18,CNF,LD003,Head on collision,13,265,Main Road,NORMAL,N,7,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1371,2007-09-19,PH,LD003,Head on collision,0,0,Minor Road,WET,Y,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,33572,33572
1372,2007-09-19,PH,LD003,Head on collision,0,342,Minor Road,NORMAL,N,16,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6245,6245
1373,2007-09-21,PH,LD003,Head on collision,0,338,Minor Road,NORMAL,N,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2338,2338
1374,2007-09-24,Other,LD003,Head on collision,0,111,Minor Road,WET,N,7,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1559,1559
1375,2007-09-24,Other,LD003,Head on collision,0,130,Minor Road,WET,N,10,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376,2007-09-25,Other,LD003,Head on collision,1,153,Main Road,NORMAL,N,19,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,6064,6064
1377,2007-09-25,Other,LD003,Head on collision,0,43,Main Road,WET,N,18,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,110,110
1378,2007-09-26,Other,LD003,Head on collision,1,36,Minor Road,NORMAL,N,12,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1314,1314
1379,2007-09-26,PH,LD003,Head on collision,0,213,Minor Road,NORMAL,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3042,3042
1380,2007-09-27,PH,LD003,Head on collision,1,298,Main Road,NORMAL,N,8,Other,n/k,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14937,14937
1381,2007-09-28,PH,LD003,Head on collision,1,156,Main Road,NORMAL,N,7,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,86,86
1382,2007-10-01,Other,LD003,Head on collision,0,38,Minor Road,WET,N,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,648,648
1383,2007-10-03,CNF,LD003,Head on collision,1,77,Minor Road,NORMAL,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,831,831
1384,2007-10-03,TP,LD003,Head on collision,12,59,Minor Road,N/K,n/k,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385,2007-10-04,PH,LD003,Head on collision,0,291,Main Road,NORMAL,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,24
1386,2007-10-05,PH,LD003,Head on collision,0,213,Main Road,NORMAL,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,986,986
1387,2007-10-06,PH,LD003,Head on collision,2,346,Minor Road,NORMAL,Y,3,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,2007-10-06,PH,LD003,Head on collision,6,332,Minor Road,NORMAL,Y,1,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4252,4252
1389,2007-10-06,PH,LD003,Head on collision,2,188,Main Road,NORMAL,N,22,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21499,21499
1390,2007-10-06,CNF,LD003,Head on collision,2,131,Minor Road,NORMAL,N,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026,2026
1391,2007-10-08,NamedDriver,LD003,Head on collision,0,244,Minor Road,NORMAL,N,11,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1392,2007-10-09,Other,LD003,Head on collision,0,308,Minor Road,WET,N,9,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11406,11406
1393,2007-10-09,TP,LD003,Head on collision,111,65,Main Road,N/K,n/k,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10716,10716
1394,2007-10-09,Other,LD003,Head on collision,0,128,Minor Road,WET,n/k,12,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,864,864
1395,2007-10-10,PH,LD003,Head on collision,0,50,Minor Road,WET,Y,9,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4482,4482
1396,2007-10-10,CNF,LD003,Head on collision,1,321,n/k,NORMAL,Y,19,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,2007-10-10,PH,LD003,Head on collision,0,19,Minor Road,WET,N,7,Other,n/k,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23041,23041
1398,2007-10-11,Other,LD003,Head on collision,1,60,Main Road,NORMAL,N,17,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1399,2007-10-12,CNF,LD003,Head on collision,11,145,Main Road,NORMAL,N,9,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,19846,19846
1400,2007-10-13,PH,LD003,Head on collision,0,135,Minor Road,NORMAL,N,13,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3426,3426
1401,2007-10-15,Other,LD003,Head on collision,3,265,Minor Road,NORMAL,Y,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1402,2007-10-15,Other,LD003,Head on collision,0,234,Main Road,NORMAL,Y,7,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3739,3739
1403,2007-10-17,PH,LD003,Head on collision,0,304,Main Road,"SNOW,ICE,FOG",N,5,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,21285,21285
1404,2007-10-17,CNF,LD003,Head on collision,1,113,Minor Road,NORMAL,Y,20,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,24
1405,2007-10-17,CNF,LD003,Head on collision,1,240,Main Road,NORMAL,N,20,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1406,2007-10-17,PH,LD003,Head on collision,1,168,Main Road,NORMAL,N,16,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7957,7957
1407,2007-10-17,PH,LD003,Head on collision,9,104,Minor Road,WET,Y,13,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2883,2883
1408,2007-10-18,PH,LD003,Head on collision,0,70,Minor Road,WET,Y,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4263,4263
1409,2007-10-19,PH,LD003,Head on collision,3,152,Main Road,NORMAL,N,15,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1410,2007-10-22,PH,LD003,Head on collision,1,204,Minor Road,NORMAL,Y,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2669,2669
1411,2007-10-27,CNF,LD003,Head on collision,2,240,Minor Road,WET,N,18,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1412,2007-10-29,Other,LD003,Head on collision,0,57,Main Road,NORMAL,N,12,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1728,1728
1413,2007-10-29,Other,LD003,Head on collision,5,61,Minor Road,NORMAL,Y,20,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,2017
1414,2007-10-30,Other,LD003,Head on collision,2,42,Main Road,N/K,n/k,19,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,26147,26147
1415,2007-10-30,PH,LD003,Head on collision,0,363,Main Road,NORMAL,N,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1416,2007-10-30,Other,LD003,Head on collision,0,314,Main Road,NORMAL,N,5,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1417,2007-10-31,PH,LD003,Head on collision,0,322,Minor Road,NORMAL,N,10,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-993,-993
1418,2007-11-02,Other,LD003,Head on collision,1,129,Minor Road,NORMAL,N,19,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,538,538
1419,2007-11-02,CNF,LD003,Head on collision,0,300,Minor Road,NORMAL,N,10,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4543,4543
1420,2007-11-03,Other,LD003,Head on collision,2,118,n/k,NORMAL,N,15,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1026,1026
1421,2007-11-04,Other,LD003,Head on collision,1,203,Minor Road,NORMAL,n/k,16,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1373,-1373
1422,2007-11-04,Other,LD003,Head on collision,1,14,n/k,NORMAL,N,15,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1423,2007-11-06,CNF,LD003,Head on collision,1,208,Main Road,NORMAL,Y,21,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,469,469
1424,2007-11-06,Other,LD003,Head on collision,0,333,Minor Road,NORMAL,N,8,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2691,2691
1425,2007-11-06,CNF,LD003,Head on collision,1,167,Minor Road,NORMAL,N,20,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3530,3530
1426,2007-11-07,Other,LD003,Head on collision,0,104,Home Address,WET,N,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2530,2530
1427,2007-11-08,CNF,LD003,Head on collision,1,188,Minor Road,WET,Y,12,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,799,799
1428,2007-11-09,Other,LD003,Head on collision,3,221,Minor Road,NORMAL,N,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2106,2106
1429,2007-11-09,Other,LD003,Head on collision,1,204,Minor Road,WET,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1430,2007-11-10,CNF,LD003,Head on collision,2,354,Main Road,NORMAL,N,12,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,151,151
1431,2007-11-10,PH,LD003,Head on collision,10,252,Main Road,NORMAL,Y,18,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,988,988
1432,2007-11-11,PH,LD003,Head on collision,1,225,Minor Road,WET,N,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3471,3471
1433,2007-11-11,Other,LD003,Head on collision,1,143,Other,NORMAL,N,12,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,801,801
1434,2007-11-11,PH,LD003,Head on collision,1,311,Main Road,NORMAL,Y,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7896,7896
1435,2007-11-12,CNF,LD003,Head on collision,1,67,Minor Road,NORMAL,N,17,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,137,137
1436,2007-11-13,PH,LD003,Head on collision,0,39,Minor Road,NORMAL,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1269,1269
1437,2007-11-15,CNF,LD003,Head on collision,1,5,Other,NORMAL,N,18,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,56944,50000
1438,2007-11-15,Other,LD003,Head on collision,1,150,Minor Road,NORMAL,Y,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1439,2007-11-16,TP,LD003,Head on collision,19,254,Not Applicable,N/K,n/k,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,26
1440,2007-11-17,PH,LD003,Head on collision,4,24,Minor Road,NORMAL,Y,20,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,30,30
1441,2007-11-17,TP,LD003,Head on collision,4,350,Car Park,N/K,n/k,10,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442,2007-11-17,CNF,LD003,Head on collision,2,332,Main Road,WET,N,17,N,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1443,2007-11-18,CNF,LD003,Head on collision,1,112,Main Road,NORMAL,N,7,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32306,32306
1444,2007-11-19,Other,LD003,Head on collision,0,258,Minor Road,WET,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5103,5103
1445,2007-11-19,Other,LD003,Head on collision,0,155,Minor Road,WET,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1223,1223
1446,2007-11-20,PH,LD003,Head on collision,0,308,Minor Road,WET,N,13,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1949,1949
